epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,299.906,0.19467,3.49293,0.80347,0.99776,1,0.995,0.995,0.14826,1.65402,0.80598,0.00162533,0.000541775,0.00162533,0.000541775,0.00162533,0.000541775,0.00162533,0.000541775
2,557.991,0.14725,1.28219,0.77789,0.99857,1,0.995,0.995,0.12401,1.12263,0.65067,0.00296638,0.000988795,0.00296638,0.000988795,0.00296638,0.000988795,0.00296638,0.000988795
3,823.33,0.14951,0.84556,0.76386,0.99856,1,0.995,0.995,0.11914,0.70739,0.60285,0.00397738,0.00132579,0.00397738,0.00132579,0.00397738,0.00132579,0.00397738,0.00132579
4,1075.46,0.13883,0.56908,0.76534,0.99865,1,0.995,0.995,0.15258,0.51475,0.56686,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
5,1331.02,0.15104,0.4352,0.7673,0.99883,1,0.995,0.995,0.12896,0.40143,0.56202,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
6,1585.56,0.14108,0.35763,0.7239,0.9987,1,0.995,0.995,0.13665,0.31147,0.6079,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
7,1842.81,0.13618,0.30387,0.77092,0.99872,1,0.995,0.995,0.12656,0.26378,0.61108,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
8,2095.11,0.13707,0.27088,0.75595,0.9987,1,0.995,0.995,0.1328,0.24321,0.60938,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
9,2364.64,0.13173,0.25381,0.78666,0.99913,1,0.995,0.995,0.13662,0.22592,0.61374,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
10,2630.73,0.12821,0.25494,0.77384,0.99868,1,0.995,0.995,0.13803,0.21921,0.61908,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
